record_id,type_id,region_id,occur_time,property_loss,victim_count
"1","4","5","2024-11-05 21:00:00",,"1"
"2","5","5","2024-06-02 08:00:00",,"1"
"3","5","5","2025-03-09 12:00:00","84684.19","1"
"4","3","4","2023-11-13 09:00:00","54275.34","4"
"5","5","3","2023-01-14 09:00:00","6720.97","5"
"6","5","2","2023-07-24 10:00:00",,"1"
"7","4","1","2023-09-22 01:00:00",,"1"
"8","5","2","2023-01-28 06:00:00",,"1"
"9","2","5","2025-03-25 19:00:00",,"1"
"10","4","5","2024-03-07 17:00:00",,"5"
"11","1","2","2025-05-10 04:00:00",,"1"
"12","4","5","2023-11-29 03:00:00",,"1"
"13","3","4","2024-09-18 11:00:00",,"1"
"14","1","3","2024-09-12 18:00:00","63280.38","1"
"15","1","5","2024-11-09 18:00:00",,"2"
"16","2","5","2023-08-27 09:00:00",,"1"
"17","4","3","2025-01-22 10:00:00",,"1"
"18","3","3","2024-08-19 01:00:00",,"1"
"19","3","1","2024-12-24 22:00:00",,"1"
"20","5","1","2025-03-16 04:00:00",,"1"
"21","3","1","2024-02-12 16:00:00",,"1"
"22","3","2","2023-01-13 05:00:00",,"2"
"23","3","1","2025-04-27 06:00:00",,"3"
"24","5","2","2024-05-15 22:00:00",,"1"
"25","1","5","2024-09-22 22:00:00",,"1"
"26","2","1","2025-05-13 10:00:00",,"1"
"27","2","1","2024-10-18 06:00:00",,"1"
"28","2","1","2025-02-13 17:00:00",,"1"
"29","2","5","2023-07-17 15:00:00",,"1"
"30","3","3","2024-11-06 12:00:00",,"1"
"31","3","2","2025-05-02 23:00:00",,"1"
"32","1","5","2024-12-16 12:00:00",,"1"
"33","1","1","2023-11-28 11:00:00",,"1"
"34","4","2","2025-04-19 23:00:00",,"1"
"35","4","3","2024-02-25 15:00:00","18972.27","1"
"36","4","3","2024-02-20 14:00:00",,"1"
"37","5","1","2025-04-08 05:00:00",,"1"
"38","4","2","2023-01-10 06:00:00",,"1"
"39","3","4","2024-07-07 17:00:00","88230.39","1"
"40","5","2","2024-12-27 00:00:00",,"5"
"41","2","2","2023-10-13 18:00:00","31110.46","1"
"42","5","2","2025-02-05 06:00:00","25657.13","3"
"43","3","3","2024-09-13 01:00:00",,"1"
"44","2","1","2023-01-09 00:00:00",,"1"
"45","3","3","2024-09-19 00:00:00",,"1"
"46","2","4","2025-05-26 23:00:00",,"1"
"47","2","1","2025-05-07 16:00:00",,"1"
"48","5","5","2023-12-02 23:00:00","26338.87","1"
"49","1","5","2024-12-09 22:00:00",,"1"
"50","4","4","2024-10-07 09:00:00","66496.99","1"
"51","1","5","2024-06-19 11:00:00",,"1"
"52","1","3","2023-08-01 18:00:00",,"1"
"53","4","1","2024-09-10 03:00:00",,"1"
"54","5","2","2025-04-19 15:00:00",,"3"
"55","2","4","2023-03-05 10:00:00","50730.08","1"
"56","4","4","2023-05-22 18:00:00",,"1"
"57","4","4","2023-08-14 02:00:00","90207.26","1"
"58","2","4","2025-01-15 17:00:00",,"5"
"59","1","5","2025-03-01 17:00:00",,"1"
"60","1","4","2023-11-03 11:00:00",,"1"
"61","1","2","2023-06-29 00:00:00",,"1"
